,Date,company_name,price_at_close,price_change,price_after_hours,previous_close,today opened,price range,52 week range,volume,average volume,market cap,beta (3Y Monthly),PE Ratio,EPS,earnings date,Dividend Yield,1Y target est
1,Jun 13 2021,Exxon Mobil Corporation (XOM),"4,247.44",+8.26,,62.75,63.01,62.14 - 63.19,31.11 - 64.02,"17,228,143","25,549,807",263.198B,1.41,N/A,-4.47,"Jul 29, 2021 - Aug 02, 2021",3.48 (5.88%),64.44
2,Jun 13 2021,Occidental Petroleum Corporation (OXY),"4,247.44",+8.26,,28.33,28.52,28.21 - 28.96,8.52 - 32.52,"10,674,807","17,121,698",26.445B,2.53,N/A,-17.06,"Aug 09, 2021 - Aug 13, 2021",0.04 (0.15%),31.09
3,Jun 13 2021,Chevron Corporation (CVX),"4,247.44",+8.26,,108.41,108.84,107.86 - 108.97,65.16 - 113.11,"7,730,609","9,647,642",208.057B,1.32,N/A,-4.12,"Jul 29, 2021 - Aug 02, 2021",5.36 (5.08%),120.33
4,Jun 13 2021,Berkshire Hathaway Inc. (BRK-A),"4,247.44",+8.26,,"427,156.00","428,558.00","428,000.00 - 431,351.12","262,700.00 - 445,000.00","1,201",39,654.119B,0.90,6.51,"66,140.91",N/A,N/A (N/A),"462,750.00"
5,Jun 13 2021,"Flagstar Bancorp, Inc. (FBC)","4,247.44",+8.26,,45.08,45.16,45.00 - 45.54,26.34 - 51.58,"180,310","728,914",2.388B,1.71,4.76,9.52,"Jul 26, 2021 - Jul 30, 2021",0.24 (0.51%),54.56
6,Jun 13 2021,"Palo Alto Networks, Inc. (PANW)","4,247.44",+8.26,,362.45,362.45,362.45 - 367.45,217.48 - 403.00,"746,451","1,003,419",35.575B,1.39,N/A,-3.84,"Aug 23, 2021 - Aug 27, 2021",N/A (N/A),444.58
7,Jun 13 2021,"EPAM Systems, Inc. (EPAM)","4,247.44",+8.26,,505.63,504.27,501.64 - 510.46,225.70 - 510.46,"283,752","322,452",28.674B,1.36,90.80,5.60,"Aug 04, 2021 - Aug 09, 2021",N/A (N/A),496.71
8,Jun 13 2021,"The Trade Desk, Inc. (TTD)","4,247.44",+8.26,,590.27,595.93,591.61 - 607.60,345.00 - 972.80,"611,428","949,533",28.509B,2.48,121.17,4.95,"Aug 04, 2021 - Aug 09, 2021",N/A (N/A),670.74
9,Jun 13 2021,"Match Group, Inc. (MTCH)","4,247.44",+8.26,,141.88,141.69,139.71 - 141.78,85.49 - 174.68,"1,473,391","2,025,471",38.245B,N/A,290.10,0.49,"Aug 02, 2021 - Aug 06, 2021",N/A (N/A),167.41
10,Jun 13 2021,Siemens Aktiengesellschaft (SIEGY),"4,247.44",+8.26,,82.39,82.74,82.39 - 83.02,54.30 - 88.17,"98,233","130,928",132.334B,1.12,25.88,3.20,N/A,2.11 (2.56%),103.33
11,Jun 13 2021,"Intuitive Surgical, Inc. (ISRG)","4,247.44",+8.26,,859.14,860.00,855.37 - 864.30,543.03 - 893.79,"445,172","544,839",102.341B,1.00,88.92,9.72,"Jul 19, 2021 - Jul 23, 2021",N/A (N/A),889.14
